Player,MP,TRB,AST,STL,BLK,PTS
Kawhi Leonard,34,7.3,3.3,1.8,0.4,26.6
Kyle Lowry,34,4.8,8.7,1.4,0.5,14.2
Pascal Siakam,31.9,6.9,3.1,0.9,0.7,16.9
Danny Green,27.7,4,1.6,0.9,0.7,10.3
Fred VanVleet,27.5,2.6,4.8,0.9,0.3,11
Serge Ibaka,27.2,8.1,1.3,0.4,1.4,15
Marc Gasol,24.9,6.6,3.9,0.9,0.9,9.1
OG Anunoby,20.2,2.9,0.7,0.7,0.3,7
Jeremy Lin,18.8,2.6,2.2,0.4,0.3,7
Jonas Valančiūnas,18.8,7.2,1,0.4,0.8,12.8
Norman Powell,18.8,2.3,1.5,0.7,0.2,8.6
Delon Wright,18.3,2.6,2.2,0.9,0.3,6.9
C.J. Miles,14.1,1.7,0.6,0.5,0.3,5.5
Patrick McCaw,13.2,1.7,1,0.8,0.1,2.7
Jodie Meeks,13,1.5,1,0.1,0.1,6.4
Greg Monroe,11.1,4.1,0.4,0.3,0.2,4.8
Eric Moreland,9.5,4.3,1,0.3,0.3,1.8
Lorenzo Brown,8.2,1.2,1.1,0.5,0.2,2.1
Malcolm Miller,6.7,0.5,0.1,0.1,0.1,3.5
Chris Boucher,5.8,2,0.1,0.2,0.9,3.3
Malachi Richardson,4.7,0.6,0,0,0,1.4
Jordan Loyd,4.6,0.8,0.5,0,0,2.4